Latitude,Longitude,Heading,ShipName,Date,LadenState
-34.849717,18.478585,283,PACIFIC OPAL,31/12/2014,Unladen
25.8463,148.023,271,HANJIN NEW ORLEANS,31/12/2014,Laden
9.01972,120.344,176,CCS ANGEL,31/12/2014,Unladen
38.4683,118.3,14,GUANG QIAN,31/12/2014,Unladen
14.4036,119.762,173,WOOYANG VENUS,31/12/2014,Unladen
30.196,-14.6419,19,STAR MEGA,31/12/2014,Laden
35.955,126.464,304,SUERTE,31/12/2014,Unladen
49.292,-123.032333,252,THEOFYLAKTOS,31/12/2014,Laden
14.1344,80.3582,21,LA PAIX,31/12/2014,Laden
21.702383,114.4515,166,LOTUS SUN,31/12/2014,Unladen
3.050852,100.781593,314,HANDAN STEEL,31/12/2014,Unladen
16.8211,116.635,221,ANANGEL HAILI,31/12/2014,Unladen
40.276,121.655,345,KAYU PUTIH,31/12/2014,Laden
28.823,34.731,197,DAL VA,31/12/2014,Unladen
36.16451,-5.25485,169,CITY OF DUBROVNIK,31/12/2014,Unladen
21.7739,114.403,250,YUEDIAN 9,31/12/2014,Unladen
-8.79513,102.949,38,STELLAR IRIS,31/12/2014,Laden
2.459635,101.559633,129,KAYU EBONI,31/12/2014,Unladen
40.8092,121.063,327,KAYU RAMIN,31/12/2014,Laden
-25.4177,46.8541,248,ELITE,31/12/2014,Unladen
5.91953,83.6506,268,TUO FU 11,31/12/2014,Laden
21.10038,110.440267,318,YUE DIAN 7,31/12/2014,Laden
24.0382,122.15605,199,WUGANG ATALNTIC,31/12/2014,Unladen
28.9509,136.281,15,ASAHI MARU,31/12/2014,Laden
29.037153,48.220587,319,PANAMAX BLESSING,31/12/2014,Laden
-4.008948,115.604003,255,YUE DIAN 82,31/12/2014,Unladen
-1.344963,116.960353,250,DONG JIANG MING,31/12/2014,Unladen
38.9475,118.134482,285,YUEDIAN6,31/12/2014,Unladen
25.1755,127.471,91,PROSPERITY,31/12/2014,Laden
-6.42133,148.349,302,MARTZOUKOS A,31/12/2014,Laden
31.1406,29.7984,269,MIGHTY MICHALIS,31/12/2014,Laden
37.9991,10.8616,248,AODABAO,31/12/2014,Unladen
22.993732,116.5429,19,XIN HONG HAI,31/12/2014,Laden
32.01722,120.767655,271,SHI DAI 5,31/12/2014,Laden
22.265232,113.799397,345,GUODIAN22,31/12/2014,Laden
23.0801,113.488,292.2,YA TAI 1,31/12/2014,Unladen
31.396237,131.095448,321,HUI ZHI,31/12/2014,Laden
36.6031,122.739,182,ROYAL OCEAN 8,31/12/2014,Laden
-32.2597,-51.9641,354,ADAMASTOS,31/12/2014,Laden
12.752835,43.300428,336,ELECTRONICA,31/12/2014,Unladen
-18.6174,4.81515,139,GLOBAL VICTORY,31/12/2014,Laden
7.01283,140.664,145,HYUNDAI ATLAS,31/12/2014,Unladen
36.6448,122.842,166,GUO DIAN 20,31/12/2014,Laden
5.84934,84.1931,92.6,AN FU STAR,31/12/2014,Laden
39.20363,119.016265,35,HUA HENG 165,31/12/2014,Unladen
39.763675,119.630127,320,NAVIOS LIBRA 2,31/12/2014,Unladen
37.5461,11.0467,297,MELCHIOR,31/12/2014,Unladen
-31.1598,153.249,24,SORYU MARU,31/12/2014,Unladen
26.386685,54.32105,277,OCEAN MERRY,31/12/2014,Unladen
39.9773,119.836,25,DA TANG 18,31/12/2014,Unladen
3.16649,139.543,320,CHS BRIGHT,31/12/2014,Laden
-21.1643,149.363,111,C.MARCH,31/12/2014,Unladen
17.8127,133.749,338,ORIENTAL TREASURE,31/12/2014,Laden
-29.707683,31.809033,325,MATRIX,31/12/2014,Unladen
12.6631,81.471,298,PREMA ONE,31/12/2014,Laden
-22.3381,62.7843,52,PETER S,31/12/2014,Laden
23.2304,-17.3985,27,KONSTANTINOS A,31/12/2014,Laden
9.14393,120.238,183,GNS HOPE,31/12/2014,Unladen
20.336,108.087,9,NOSCO GLORY,31/12/2014,Laden
34.9075,128.107,326,F. STAR,31/12/2014,Laden
31.4788,121.414633,307,SHIDAI 3,31/12/2014,Laden
-3.707,109.829,162,SEA LORD,31/12/2014,Unladen
-3.74611,114.45,313,OKIALOS,31/12/2014,Unladen
31.48154,121.410518,302,TIAN ZUO,31/12/2014,Laden
-0.275522,117.689,180,EVERMERIT,31/12/2014,Unladen
-25.9939,154.101,356,FERNIE,31/12/2014,Laden
25.180048,56.462427,34,SAMOS LEGEND,31/12/2014,Unladen
-31.6686,38.815,73,SILVER MERCHANT,31/12/2014,Laden
-30.6505,12.8308,31,CAPE LADOGA,31/12/2014,Unladen
-8.81581,151.315,340,FORMOSABULK ALLSTAR,31/12/2014,Laden
6.30341,94.175,266,SILVER TRADE,31/12/2014,Laden
29.1888,-53.6462,80,DENAK VOYAGER,31/12/2014,Laden
36.0989,18.9855,86,DENAK TRADER,31/12/2014,Laden
-30.6593,40.648,154,NEW LEON,31/12/2014,Laden
-5.04022,-10.1755,142,IRON KING,31/12/2014,Laden
-18.1065,69.839,56,DRIN,31/12/2014,Laden
20.3854,132.24,7,KUROTAKISAN MARU,31/12/2014,Laden
-20.786988,-40.5714,21,C.ROYAL,31/12/2014,Unladen
5.16564,141.746,325,GOONZARAN,31/12/2014,Laden
37.6485,120.303,354,OCEAN MASTER,31/12/2014,Unladen
0.631395,119.085,189,SHENG MING,31/12/2014,Unladen
38.437472,121.289452,300,RICHMOND,31/12/2014,Laden
20.976917,72.610267,0,MP PANAMAX 4,31/12/2014,Laden
34.9061,128.108,146,M.V. CHOKANG SUNRISE,31/12/2014,Unladen
-26.5582,46.1207,66,CONSUL POPPE,31/12/2014,Laden
25.195257,122.9034,26,PACIFIC CORAL,31/12/2014,Laden
47.284752,-2.199302,10,AG VARTHOLOMEOS,31/12/2014,Unladen
29.964817,-90.292117,245,ANGARA,31/12/2014,Laden
27.8905,122.984,179,STAR LAUREL,31/12/2014,Unladen
-21.1706,149.398,33,ANANGEL LEGEND,31/12/2014,Unladen
46.3235,-55.987,275,CAPE IOANNA,31/12/2014,Unladen
-22.5517,63.434,55,ANANGEL OMONIA,31/12/2014,Laden
-21.8601,154.039,45,MEYNELL,31/12/2014,Laden
38.790883,118.1769,353,BERGE ENTERPRISE,31/12/2014,Unladen
1.84773,141.836,272,OCEAN DRAGON,31/12/2014,Unladen
20.1957,177.863,284,RUTLAND,31/12/2014,Laden
24.115542,122.480648,186,SNOWDON,31/12/2014,Unladen
-6.07745,-81.6926,171,SANMAR PARAGON,31/12/2014,Laden
22.6733,120.207,157,HEYTHROP,31/12/2014,Unladen
0.0539333,138.388,297,IRFON,31/12/2014,Laden
51.961242,4.12512,155,HARVEST MOON,31/12/2014,Laden
